host,hostname,department,criticality,location
worker-10.0.5.1,worker-1,Finance,Medium,us-west-2
worker-10.0.5.2,worker-2,HR,High,eu-west-1
worker-10.0.5.3,worker-3,Marketing,Critical,us-east-1
worker-10.0.5.4,worker-4,Security,Low,us-west-2
worker-10.0.5.5,worker-5,Engineering,Medium,eu-west-1
worker-10.0.5.6,worker-6,Finance,High,us-east-1
worker-10.0.5.7,worker-7,HR,Critical,us-west-2
worker-10.0.5.8,worker-8,Marketing,Low,eu-west-1
worker-10.0.5.9,worker-9,Security,Medium,us-east-1
worker-10.0.5.10,worker-10,Engineering,High,us-west-2
worker-10.0.5.11,worker-11,Finance,Critical,eu-west-1
worker-10.0.5.12,worker-12,HR,Low,us-east-1
worker-10.0.5.13,worker-13,Marketing,Medium,us-west-2
worker-10.0.5.14,worker-14,Security,High,eu-west-1
worker-10.0.5.15,worker-15,Engineering,Critical,us-east-1
worker-10.0.5.16,worker-16,Finance,Low,us-west-2
worker-10.0.5.17,worker-17,HR,Medium,eu-west-1
worker-10.0.5.18,worker-18,Marketing,High,us-east-1
worker-10.0.5.19,worker-19,Security,Critical,us-west-2
worker-10.0.5.20,worker-20,Engineering,Low,eu-west-1
worker-10.0.5.21,worker-21,Finance,Medium,us-east-1
worker-10.0.5.22,worker-22,HR,High,us-west-2
worker-10.0.5.23,worker-23,Marketing,Critical,eu-west-1
worker-10.0.5.24,worker-24,Security,Low,us-east-1
worker-10.0.5.25,worker-25,Engineering,Medium,us-west-2
worker-10.0.5.26,worker-26,Finance,High,eu-west-1
worker-10.0.5.27,worker-27,HR,Critical,us-east-1
worker-10.0.5.28,worker-28,Marketing,Low,us-west-2
worker-10.0.5.29,worker-29,Security,Medium,eu-west-1
worker-10.0.5.30,worker-30,Engineering,High,us-east-1
worker-10.0.5.31,worker-31,Finance,Critical,us-west-2
worker-10.0.5.32,worker-32,HR,Low,eu-west-1
worker-10.0.5.33,worker-33,Marketing,Medium,us-east-1
worker-10.0.5.34,worker-34,Security,High,us-west-2
worker-10.0.5.35,worker-35,Engineering,Critical,eu-west-1
worker-10.0.5.36,worker-36,Finance,Low,us-east-1
worker-10.0.5.37,worker-37,HR,Medium,us-west-2
worker-10.0.5.38,worker-38,Marketing,High,eu-west-1
worker-10.0.5.39,worker-39,Security,Critical,us-east-1
worker-10.0.5.40,worker-40,Engineering,Low,us-west-2
worker-10.0.5.41,worker-41,Finance,Medium,eu-west-1
worker-10.0.5.42,worker-42,HR,High,us-east-1
worker-10.0.5.43,worker-43,Marketing,Critical,us-west-2
worker-10.0.5.44,worker-44,Security,Low,eu-west-1
worker-10.0.5.45,worker-45,Engineering,Medium,us-east-1
worker-10.0.5.46,worker-46,Finance,High,us-west-2
worker-10.0.5.47,worker-47,HR,Critical,eu-west-1
worker-10.0.5.48,worker-48,Marketing,Low,us-east-1
worker-10.0.5.49,worker-49,Security,Medium,us-west-2
worker-10.0.5.50,worker-50,Engineering,High,eu-west-1
worker-10.0.5.51,worker-51,Finance,Critical,us-east-1
worker-10.0.5.52,worker-52,HR,Low,us-west-2
worker-10.0.5.53,worker-53,Marketing,Medium,eu-west-1
worker-10.0.5.54,worker-54,Security,High,us-east-1
worker-10.0.5.55,worker-55,Engineering,Critical,us-west-2
worker-10.0.5.56,worker-56,Finance,Low,eu-west-1
worker-10.0.5.57,worker-57,HR,Medium,us-east-1
worker-10.0.5.58,worker-58,Marketing,High,us-west-2
worker-10.0.5.59,worker-59,Security,Critical,eu-west-1
worker-10.0.5.60,worker-60,Engineering,Low,us-east-1
worker-10.0.5.61,worker-61,Finance,Medium,us-west-2
worker-10.0.5.62,worker-62,HR,High,eu-west-1
worker-10.0.5.63,worker-63,Marketing,Critical,us-east-1
worker-10.0.5.64,worker-64,Security,Low,us-west-2
worker-10.0.5.65,worker-65,Engineering,Medium,eu-west-1
worker-10.0.5.66,worker-66,Finance,High,us-east-1
